text,label
"שלום, התור שלך לרופא מחר בשעה 09:30",0
"נכנסה הפקדה לחשבון הבנק שלך",0
"תזכורת: חשבון החשמל לתשלום עד סוף החודש",0
"אמא אני מגיע עוד חצי שעה",0
"המשלוח בדרך ויגיע היום",0
"סבתא מה שלומך? תתקשרי כשנוח",0
"קיבלת קנס. לחץ כאן לתשלום מיידי: http://fine-pay-now.biz",1
"דחוף! חשבונך נחסם, עדכן סיסמה עכשיו: https://verify-user-access.co",1
"יש בעיה בחבילה שלך. הזן פרטי אשראי לשחרור: http://post-fix-fast.com",1
"התראה ביטחונית! אשר קוד אימות מיידי כדי למנוע חסימה",1
"לחץ כאן כדי לקבל החזר מס: http://tax-return-prize.site",1
"החשבון שלך הוגבל. אשר פרטים אישיים עכשיו",1
"יום הולדת שמח! אוהבים אותך",0
"הפגישה הועברה לשבוע הבא",0
"קיבלנו את טופס הבקשה שלך בהצלחה",0
"זכית בפרס ענק! הזן פרטי כרטיס: http://gift-check-now.xyz",1
"הודעת שירות: המרפאה נסגרת מוקדם היום",0
"עדכון בנק: פעולה חריגה זוהתה, התחבר לבדיקה: http://secure-bank-check.one",1
"שלום, הקוד לשער הכניסה הוא 5532",0
"נדרש אימות מיידי של החשבון, לחץ כאן: http://urgent-auth-fast.click",1
